director,movie,rank,year,critic_cn,critic,critic_org
Hayao Miyazaki, Spirited Away ,5,2001,Lebanon,Hauvick Habechian,An-Nahar Newspaper
Nuri Bilge Ceylan, Once Upon a Time in Anatolia ,6,2011,Lebanon,Hauvick Habechian,An-Nahar Newspaper
Wong Kar-wai, In the Mood for Love ,7,2000,Lebanon,Hauvick Habechian,An-Nahar Newspaper
Éric Rohmer, The Lady and the Duke ,8,2001,Lebanon,Hauvick Habechian,An-Nahar Newspaper
Edward Yang, Yi Yi: A One and a Two ,9,2000,Lebanon,Hauvick Habechian,An-Nahar Newspaper
Aleksey Fedorchenko, Silent Souls ,10,2010,Lebanon,Hauvick Habechian,An-Nahar Newspaper
Charlie Kaufman," Synecdoche, New York ",1,2008,US,Angie Han,Slashfilm
Michel Gondry, Eternal Sunshine of the Spotless Mind ,2,2004,US,Angie Han,Slashfilm
Richard Linklater, Boyhood ,3,2014,US,Angie Han,Slashfilm
George Miller, Mad Max: Fury Road ,4,2015,US,Angie Han,Slashfilm
Miranda July, Me and You and Everyone We Know ,5,2005,US,Angie Han,Slashfilm
David Fincher, Gone Girl ,6,2014,US,Angie Han,Slashfilm
Joel and Ethan Coen, Inside Llewyn Davis ,7,2013,US,Angie Han,Slashfilm
Jim Jarmusch, Only Lovers Left Alive ,8,2013,US,Angie Han,Slashfilm
Ava DuVernay, Selma ,9,2014,US,Angie Han,Slashfilm
Michael Bay, Pain & Gain ,10,2013,US,Angie Han,Slashfilm
Pete Docter, Inside Out ,1,2015,US,Aisha Harris,Slate
Spike Lee, When the Levees Broke: A Requiem in Four Acts ,2,2006,US,Aisha Harris,Slate
Sarah Polley, Stories We Tell ,3,2012,US,Aisha Harris,Slate
Spike Jonze, Her ,4,2013,US,Aisha Harris,Slate
Alfonso Cuarón, Children of Men ,5,2006,US,Aisha Harris,Slate
Richard Linklater, Before Midnight ,6,2013,US,Aisha Harris,Slate
Joshua Oppenheimer, The Look of Silence ,7,2014,US,Aisha Harris,Slate
Ryan Coogler, Fruitvale Station ,8,2013,US,Aisha Harris,Slate
Gina Prince-Bythewood, Love & Basketball ,9,2000,US,Aisha Harris,Slate
Rian Johnson, Brick ,10,2005,US,Aisha Harris,Slate
Tsai Ming-liang, Stray Dogs ,1,2013,Canada,Tina Hassannia,Freelance film critic
Asghar Farhadi, A Separation ,2,2011,Canada,Tina Hassannia,Freelance film critic
Kenneth Lonergan, Margaret ,3,2011,Canada,Tina Hassannia,Freelance film critic
Abbas Kiarostami, Ten ,4,2002,Canada,Tina Hassannia,Freelance film critic
Claire Denis, 35 Shots of Rum ,5,2008,Canada,Tina Hassannia,Freelance film critic
Jafar Panahi, Closed Curtain ,6,2013,Canada,Tina Hassannia,Freelance film critic
Sean Baker, Tangerine ,7,2015,Canada,Tina Hassannia,Freelance film critic
Wes Anderson, The Royal Tenenbaums ,8,2001,Canada,Tina Hassannia,Freelance film critic
Harmony Korine, Spring Breakers ,9,2012,Canada,Tina Hassannia,Freelance film critic
Apichatpong Weerasethakul, Uncle Boonmee Who Can Recall His Past Lives ,10,2010,Canada,Tina Hassannia,Freelance film critic
Jean-Luc Godard, Notre musique ,1,2004,Japan,Shiguehiko Hasumi,University of Tokyo
Éric Rohmer, Triple Agent ,2,2004,Japan,Shiguehiko Hasumi,University of Tokyo
Hou Hsiao-hsien, The Assassin ,3,2015,Japan,Shiguehiko Hasumi,University of Tokyo
Clint Eastwood, Gran Torino ,4,2008,Japan,Shiguehiko Hasumi,University of Tokyo
Pedro Costa, Horse Money ,5,2014,Japan,Shiguehiko Hasumi,University of Tokyo
Wes Anderson, Fantastic Mr Fox ,6,2012,Japan,Shiguehiko Hasumi,University of Tokyo
Leos Carax, Holy Motors ,7,2012,Japan,Shiguehiko Hasumi,University of Tokyo
Quentin Tarantino, Death Proof – Grindhouse ,8,2007,Japan,Shiguehiko Hasumi,University of Tokyo
Tony Scott, Déjà Vu ,9,2006,Japan,Shiguehiko Hasumi,University of Tokyo
Kiyoshi Kurosawa, Seventh Code ,10,2013,Japan,Shiguehiko Hasumi,University of Tokyo
Abderrahmane Sissako, Waiting for Happiness ,1,2002,South Africa,Katarina Hedrén,Freelance film critic
Michael Haneke, The White Ribbon ,2,2009,South Africa,Katarina Hedrén,Freelance film critic
Carol Morley, Dreams of a Life ,3,2011,South Africa,Katarina Hedrén,Freelance film critic
Alain Gomis, Tey ,4,2012,South Africa,Katarina Hedrén,Freelance film critic
Agnès Varda, The Gleaners and I ,5,2000,South Africa,Katarina Hedrén,Freelance film critic
Raoul Peck, Lumumba ,6,2000,South Africa,Katarina Hedrén,Freelance film critic
Steve McQueen, Hunger ,7,2008,South Africa,Katarina Hedrén,Freelance film critic
Ryan Coogler, Fruitvale Station ,8,2013,South Africa,Katarina Hedrén,Freelance film critic
Gabriela Pichler," Eat, Sleep, Die ",9,2012,South Africa,Katarina Hedrén,Freelance film critic
Ava DuVernay, Middle of Nowhere ,10,2012,South Africa,Katarina Hedrén,Freelance film critic
Joel and Ethan Coen, A Serious Man ,1,2009,US,Jordan Hoffman,Freelance film critic
Joel and Ethan Coen, Inside Llewyn Davis ,2,2013,US,Jordan Hoffman,Freelance film critic
J. J. Abrams, Star Trek ,3,2009,US,Jordan Hoffman,Freelance film critic
Richard Linklater, Waking Life ,4,2001,US,Jordan Hoffman,Freelance film critic
PaweÅ Pawlikowski, Ida ,5,2013,US,Jordan Hoffman,Freelance film critic
Gaspar Noé, Enter the Void ,6,2009,US,Jordan Hoffman,Freelance film critic
Paul Thomas Anderson, There Will Be Blood ,7,2007,US,Jordan Hoffman,Freelance film critic
Xavier Beauvois, Of Gods and Men ,8,2010,US,Jordan Hoffman,Freelance film critic
Philip Gröning, Into Great Silence ,9,2005,US,Jordan Hoffman,Freelance film critic
Larry Charles, Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan ,10,2006,US,Jordan Hoffman,Freelance film critic
David Fincher, The Social Network ,1,2010,US,Michael Hogan,Vanity Fair
Richard Linklater, Boyhood ,2,2014,US,Michael Hogan,Vanity Fair
Alexander Payne, The Descendants ,3,2011,US,Michael Hogan,Vanity Fair
Benh Zeitlin, Beasts of the Southern Wild ,4,2012,US,Michael Hogan,Vanity Fair
Joel and Ethan Coen, No Country For Old Men ,5,2007,US,Michael Hogan,Vanity Fair
Mike Judge, Idiocracy ,6,2006,US,Michael Hogan,Vanity Fair
Paul Feig, Bridesmaids ,7,2011,US,Michael Hogan,Vanity Fair
Harmony Korine, Spring Breakers ,8,2012,US,Michael Hogan,Vanity Fair
Mary Harron, American Psycho ,9,2000,US,Michael Hogan,Vanity Fair
Christopher Nolan, The Dark Knight ,10,2008,US,Michael Hogan,Vanity Fair
Alfonso Cuarón, Children of Men ,1,2006,US,Ann Hornaday,The Washington Post
Paul Thomas Anderson, There Will Be Blood ,2,2007,US,Ann Hornaday,The Washington Post
Kathryn Bigelow, The Hurt Locker ,3,2008,US,Ann Hornaday,The Washington Post
Cristian Mungiu," 4 Months, 3 Weeks & 2 Days ",4,2007,US,Ann Hornaday,The Washington Post
Michel Gondry, Eternal Sunshine of the Spotless Mind ,5,2004,US,Ann Hornaday,The Washington Post
Richard Linklater, Boyhood ,6,2014,US,Ann Hornaday,The Washington Post
Sofia Coppola, Lost in Translation ,7,2003,US,Ann Hornaday,The Washington Post
Tony Gilroy, Michael Clayton ,8,2007,US,Ann Hornaday,The Washington Post
Kenneth Lonergan, You Can Count on Me Me ,9,2000,US,Ann Hornaday,The Washington Post
Andrew Stanton and Lee Unkrich, Finding Nemo ,10,2003,US,Ann Hornaday,The Washington Post
Gerhard Benedikt Friedl, Wolff Von Amerongen: Did He Commit Bankruptcy Offences? ,1,2004,Austria,Alexander Horwath,Austrian Film Museum
Paul Thomas Anderson, The Master ,2,2012,Austria,Alexander Horwath,Austrian Film Museum
Valeska Grisebach, Longing ,3,2006,Austria,Alexander Horwath,Austrian Film Museum
Todd Haynes, I’m Not There ,4,2007,Austria,Alexander Horwath,Austrian Film Museum
David O'Reilly, The External World ,5,2010,Austria,Alexander Horwath,Austrian Film Museum
Lee Chang-dong, Secret Sunshine ,6,2007,Austria,Alexander Horwath,Austrian Film Museum
Maren Ade, Toni Erdmann ,7,2016,Austria,Alexander Horwath,Austrian Film Museum
Jia Zhangke, Platform ,8,2000,Austria,Alexander Horwath,Austrian Film Museum
Lucrecia Martel, The Holy Girl ,9,2004,Austria,Alexander Horwath,Austrian Film Museum
Norbert Pfaffenbichler, Mosaik mécanique ,10,2008,Austria,Alexander Horwath,Austrian Film Museum
Richard Linklater, Boyhood ,1,2014,Canada,Peter Howell,The Toronto Star
Leos Carax, Holy Motors ,2,2012,Canada,Peter Howell,The Toronto Star
Terrence Malick, The Tree of Life ,3,2011,Canada,Peter Howell,The Toronto Star
Wong Kar-wai, In the Mood for Love ,4,2000,Canada,Peter Howell,The Toronto Star
Joel and Ethan Coen, Inside Llewyn Davis ,5,2013,Canada,Peter Howell,The Toronto Star
Abbas Kiarostami, Certified Copy ,6,2010,Canada,Peter Howell,The Toronto Star
Christopher Nolan, Memento ,7,2000,Canada,Peter Howell,The Toronto Star
Alfonso Cuarón, Y Tu Mamá También ,8,2001,Canada,Peter Howell,The Toronto Star
David Lynch, Mulholland Drive ,9,2001,Canada,Peter Howell,The Toronto Star
David Cronenberg, A History of Violence ,10,2005,Canada,Peter Howell,The Toronto Star
George Clooney, Good Night and Good Luck ,1,2005,US,Annette Insdorf,Columbia University
Martin Scorsese, Hugo ,2,2011,US,Annette Insdorf,Columbia University
PaweÅ Pawlikowski, Ida ,3,2013,US,Annette Insdorf,Columbia University
Asghar Farhadi, A Separation ,4,2011,US,Annette Insdorf,Columbia University
Michael Haneke, Amour ,5,2012,US,Annette Insdorf,Columbia University
Joshua Oppenheimer, The Act of Killing ,6,2012,US,Annette Insdorf,Columbia University
Philip Kaufman, Quills ,7,2000,US,Annette Insdorf,Columbia University
Wayne Blair, The Sapphires ,8,2012,US,Annette Insdorf,Columbia University
Nadine Labaki, Where Do We Go Now? ,9,2011,US,Annette Insdorf,Columbia University
Scandar Copti and Yaron Shani, Ajami ,10,2009,US,Annette Insdorf,Columbia University
Christopher Nolan, The Dark Knight ,1,2008,India,Aysha Iqbal,Indian Institute of Technology
Christopher Nolan, Inception ,2,2010,India,Aysha Iqbal,Indian Institute of Technology
Zhang Yimou, Hero ,3,2002,India,Aysha Iqbal,Indian Institute of Technology
Quentin Tarantino, Inglourious Basterds ,4,2009,India,Aysha Iqbal,Indian Institute of Technology
Martin Scorsese, The Wolf of Wall Street ,5,2013,India,Aysha Iqbal,Indian Institute of Technology
Shimit Amin, Chakde! India ,6,2007,India,Aysha Iqbal,Indian Institute of Technology
Wong Kar-wai, In the Mood for Love ,7,2000,India,Aysha Iqbal,Indian Institute of Technology
Joel and Ethan Coen, No Country For Old Men ,8,2007,India,Aysha Iqbal,Indian Institute of Technology
Vishal Bhardwaj, Maqbool ,9,2003,India,Aysha Iqbal,Indian Institute of Technology
Florian Henckel von Donnersmarck, The Lives of Others ,10,2006,India,Aysha Iqbal,Indian Institute of Technology
Roman Polanski, The Pianist ,1,2002,Kazakhstan,Zhanna Issabayeva,Freelance film critic
Jim Jarmusch, Only Lovers Left Alive ,2,2013,Kazakhstan,Zhanna Issabayeva,Freelance film critic
Apichatpong Weerasethakul, Uncle Boonmee Who Can Recall His Past Lives ,3,2010,Kazakhstan,Zhanna Issabayeva,Freelance film critic
Andrey Zvyagintsev, Leviathan ,4,2014,Kazakhstan,Zhanna Issabayeva,Freelance film critic
Jean-Pierre Jeunet, Amélie ,5,2001,Kazakhstan,Zhanna Issabayeva,Freelance film critic
James Cameron, Avatar ,6,2009,Kazakhstan,Zhanna Issabayeva,Freelance film critic
Terrence Malick, The Tree of Life ,7,2011,Kazakhstan,Zhanna Issabayeva,Freelance film critic
Roy Andersson, A Pigeon Sat on a Branch Reflecting on Existence ,8,2014,Kazakhstan,Zhanna Issabayeva,Freelance film critic
Richard Linklater, Boyhood ,9,2014,Kazakhstan,Zhanna Issabayeva,Freelance film critic
Zhang Yimou, Coming Home ,10,2014,Kazakhstan,Zhanna Issabayeva,Freelance film critic
Joshua Oppenheimer, The Act of Killing ,1,2012,UK,Larushka Ivan-Zadeh,Metro
Michael Haneke, Caché ,2,2005,UK,Larushka Ivan-Zadeh,Metro
Charlie Kaufman," Synecdoche, New York ",3,2008,UK,Larushka Ivan-Zadeh,Metro
Hayao Miyazaki, Spirited Away ,4,2001,UK,Larushka Ivan-Zadeh,Metro
Andrew Stanton, WALL-E ,5,2008,UK,Larushka Ivan-Zadeh,Metro
Apichatpong Weerasethakul, Uncle Boonmee Who Can Recall His Past Lives ,6,2010,UK,Larushka Ivan-Zadeh,Metro
Sofia Coppola, Lost in Translation ,7,2003,UK,Larushka Ivan-Zadeh,Metro
Pedro Almodóvar, Talk to Her ,8,2002,UK,Larushka Ivan-Zadeh,Metro
Darren Aronofsky, The Wrestler ,9,2008,UK,Larushka Ivan-Zadeh,Metro
Richard Linklater, Boyhood ,10,2014,UK,Larushka Ivan-Zadeh,Metro
Wong Kar-wai, In the Mood for Love ,1,2000,UK,Nick James,Sight & Sound
Michael Haneke, Caché ,2,2005,UK,Nick James,Sight & Sound
Edward Yang, Yi Yi: A One and a Two ,3,2000,UK,Nick James,Sight & Sound
Kathryn Bigelow, Zero Dark Thirty ,4,2012,UK,Nick James,Sight & Sound
Nuri Bilge Ceylan, Once Upon a Time in Anatolia ,5,2011,UK,Nick James,Sight & Sound
Claire Denis, White Material ,6,2009,UK,Nick James,Sight & Sound
Paul Thomas Anderson, There Will Be Blood ,7,2007,UK,Nick James,Sight & Sound
Joshua Oppenheimer, The Look of Silence ,8,2014,UK,Nick James,Sight & Sound
Béla Tarr and Ágnes Hranitzky, The Turin Horse ,9,2011,UK,Nick James,Sight & Sound
Paolo Sorrentino, The Great Beauty ,10,2013,UK,Nick James,Sight & Sound
Terrence Malick, The Tree of Life ,1,2011,UK,David Jenkins,Little White Lies
Mia Hansen-Løve, Eden ,2,2014,UK,David Jenkins,Little White Lies
Paul Thomas Anderson, Punch-Drunk Love ,3,2002,UK,David Jenkins,Little White Lies
Terry Zwigoff, Ghost World ,4,2001,UK,David Jenkins,Little White Lies
Miguel Gomes, Tabu ,5,2012,UK,David Jenkins,Little White Lies
Kelly Reichardt, Wendy and Lucy ,6,2008,UK,David Jenkins,Little White Lies
Lucrecia Martel, The Headless Woman ,7,2008,UK,David Jenkins,Little White Lies
Maren Ade, Everyone Else ,8,2009,UK,David Jenkins,Little White Lies
Hou Hsiao-hsien, Millennium Mambo ,9,2001,UK,David Jenkins,Little White Lies
Pedro Costa, In Vanda’s Room ,10,2000,UK,David Jenkins,Little White Lies
Paul Thomas Anderson, The Master ,1,2012,US,Kent Jones,Film Comment
Terrence Malick, The Tree of Life ,2,2011,US,Kent Jones,Film Comment
David Fincher, Zodiac ,3,2007,US,Kent Jones,Film Comment
Maren Ade, Toni Erdmann ,4,2016,US,Kent Jones,Film Comment
Paul Thomas Anderson, There Will Be Blood ,5,2007,US,Kent Jones,Film Comment
Arnaud Desplechin, My Golden Days ,6,2015,US,Kent Jones,Film Comment
Olivier Assayas, Carlos ,7,2010,US,Kent Jones,Film Comment
Joel and Ethan Coen, A Serious Man ,8,2009,US,Kent Jones,Film Comment
Wes Anderson, Moonrise Kingdom ,9,2012,US,Kent Jones,Film Comment
Jean-Pierre and Luc Dardenne, The Son ,10,2002,US,Kent Jones,Film Comment
Lucrecia Martel, The Headless Woman ,1,2008,Colombia,Manuel Kalmanovitz,Revista Semana
Hayao Miyazaki, Spirited Away ,2,2001,Colombia,Manuel Kalmanovitz,Revista Semana
David Lynch, Mulholland Drive ,3,2001,Colombia,Manuel Kalmanovitz,Revista Semana
Víctor Gaviria, Sumas y Restas ,4,2004,Colombia,Manuel Kalmanovitz,Revista Semana
Pete Docter, Inside Out ,5,2015,Colombia,Manuel Kalmanovitz,Revista Semana
Agnès Varda, The Gleaners and I ,6,2000,Colombia,Manuel Kalmanovitz,Revista Semana
Andrey Zvyagintsev, The Return ,7,2003,Colombia,Manuel Kalmanovitz,Revista Semana
Philippe Garrel, Regular Lovers ,8,2005,Colombia,Manuel Kalmanovitz,Revista Semana
Jonathan Glazer, Under the Skin ,9,2013,Colombia,Manuel Kalmanovitz,Revista Semana
Jean-Charles Fitoussi, The Days When I Do Not Exist ,10,2002,Colombia,Manuel Kalmanovitz,Revista Semana
Terrence Malick, The Tree of Life ,1,2011,Austria,Dominik Kamalzadeh,Der Standard
Leos Carax, Holy Motors ,2,2012,Austria,Dominik Kamalzadeh,Der Standard
Miguel Gomes, Tabu ,3,2012,Austria,Dominik Kamalzadeh,Der Standard
David Cronenberg, A History of Violence ,4,2005,Austria,Dominik Kamalzadeh,Der Standard
Apichatpong Weerasethakul, Tropical Malady ,5,2004,Austria,Dominik Kamalzadeh,Der Standard
Cristi Puiu, The Death of Mr Lazarescu ,6,2005,Austria,Dominik Kamalzadeh,Der Standard
Christian Petzold, Phoenix ,7,2014,Austria,Dominik Kamalzadeh,Der Standard
Jia Zhangke, Platform ,8,2000,Austria,Dominik Kamalzadeh,Der Standard
Jonas Mekas, As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty ,9,2000,Austria,Dominik Kamalzadeh,Der Standard
Lee Chang-dong, Secret Sunshine ,10,2007,Austria,Dominik Kamalzadeh,Der Standard
Sofia Coppola, Lost in Translation ,1,2003,US,Dave Karger,Freelance
David O. Russell, Silver Linings Playbook ,2,2012,US,Dave Karger,Freelance
John Crowley, Brooklyn ,3,2015,US,Dave Karger,Freelance
Tony Gilroy, Michael Clayton ,4,2007,US,Dave Karger,Freelance
Derek Cianfrance, Blue Valentine ,5,2010,US,Dave Karger,Freelance
Jean-Pierre Jeunet, Amélie ,6,2001,US,Dave Karger,Freelance
Michel Hazanavicius, The Artist ,7,2011,US,Dave Karger,Freelance
Tom Hooper, The King’s Speech ,8,2010,US,Dave Karger,Freelance
Mike Leigh, Vera Drake ,9,2004,US,Dave Karger,Freelance
Jean-Marc Vallée, Wild ,10,2014,US,Dave Karger,Freelance
Naji Abou Nowar, Theeb ,1,2014,UAE,Butheina Kazim,Cinema Akil
Bahman Ghobadi, A Time for Drunken Horses ,2,2000,UAE,Butheina Kazim,Cinema Akil
Park Chan-wook, Oldboy ,3,2003,UAE,Butheina Kazim,Cinema Akil
Damián Szifrón, Wild Tales ,4,2014,UAE,Butheina Kazim,Cinema Akil
James Marsch, Man on Wire ,5,2008,UAE,Butheina Kazim,Cinema Akil
Jim Jarmusch, Only Lovers Left Alive ,6,2013,UAE,Butheina Kazim,Cinema Akil
Quentin Tarantino, Kill Bill: Vol. 1 ,7,2003,UAE,Butheina Kazim,Cinema Akil
Wes Anderson, The Royal Tenenbaums ,8,2001,UAE,Butheina Kazim,Cinema Akil
Rachid Bouchareb, Days of Glory ,9,2006,UAE,Butheina Kazim,Cinema Akil
Fernando Meirelles and Kátia Lund, City of God ,10,2002,UAE,Butheina Kazim,Cinema Akil
Aleksey German, Hard to Be a God ,1,2013,US,Glenn Kenny,Freelance
Andrzej Zulawski, Cosmos ,2,2015,US,Glenn Kenny,Freelance
Joel and Ethan Coen, Inside Llewyn Davis ,3,2013,US,Glenn Kenny,Freelance
Olivier Assayas, Carlos ,4,2010,US,Glenn Kenny,Freelance
Steven Soderbergh, Che ,5,2008,US,Glenn Kenny,Freelance
Paul Thomas Anderson, The Master ,6,2012,US,Glenn Kenny,Freelance
Paul Thomas Anderson, There Will Be Blood ,7,2007,US,Glenn Kenny,Freelance
Claire Denis, The Intruder ,8,2004,US,Glenn Kenny,Freelance
Lynne Ramsay, Morvern Callar ,9,2002,US,Glenn Kenny,Freelance
Spike Lee, 25th Hour ,10,2002,US,Glenn Kenny,Freelance
Wong Kar-wai, In the Mood for Love ,1,2000,Germany,Andreas Kilb,Frankfurter Allgemeine Zeitung
Lars von Trier, Dogville ,2,2003,Germany,Andreas Kilb,Frankfurter Allgemeine Zeitung
Abbas Kiarostami, Ten ,3,2002,Germany,Andreas Kilb,Frankfurter Allgemeine Zeitung
Michael Haneke, The White Ribbon ,4,2009,Germany,Andreas Kilb,Frankfurter Allgemeine Zeitung
Jafar Panahi, The Circle ,5,2000,Germany,Andreas Kilb,Frankfurter Allgemeine Zeitung
Pedro Almodóvar, Bad Education ,6,2005,Germany,Andreas Kilb,Frankfurter Allgemeine Zeitung
Jacques Audiard, Rust and Bone ,7,2012,Germany,Andreas Kilb,Frankfurter Allgemeine Zeitung
François Ozon, 5x2 ,8,2004,Germany,Andreas Kilb,Frankfurter Allgemeine Zeitung
Aleksandr Sokurov, Russian Ark ,9,2002,Germany,Andreas Kilb,Frankfurter Allgemeine Zeitung
Todd Haynes, Far From Heaven ,10,2002,Germany,Andreas Kilb,Frankfurter Allgemeine Zeitung
Claude Lanzmann, The Last of the Unjust ,1,2013,Israel,Uri Klein,Haaretz
Nuri Bilge Ceylan, Once Upon a Time in Anatolia ,2,2011,Israel,Uri Klein,Haaretz
Cristian Mungiu," 4 Months, 3 Weeks & 2 Days ",3,2007,Israel,Uri Klein,Haaretz
Corneliu Porumboiu," Police, Adjective ",4,2009,Israel,Uri Klein,Haaretz
Todd Haynes, Far From Heaven ,5,2002,Israel,Uri Klein,Haaretz
Roman Polanski, The Pianist ,6,2002,Israel,Uri Klein,Haaretz
Nuri Bilge Ceylan, Winter Sleep ,7,2014,Israel,Uri Klein,Haaretz
Ang Lee, Brokeback Mountain ,8,2005,Israel,Uri Klein,Haaretz
Asghar Farhadi, A Separation ,9,2011,Israel,Uri Klein,Haaretz
Jean-Luc Godard, Goodbye to Language ,10,2014,Israel,Uri Klein,Haaretz
Richard Linklater, Boyhood ,1,2014,US,Eric Kohn,IndieWire
Leos Carax, Holy Motors ,2,2012,US,Eric Kohn,IndieWire
Michel Gondry, Eternal Sunshine of the Spotless Mind ,3,2004,US,Eric Kohn,IndieWire
Apichatpong Weerasethakul, Uncle Boonmee Who Can Recall His Past Lives ,4,2010,US,Eric Kohn,IndieWire
Gaspar Noé, Enter the Void ,5,2009,US,Eric Kohn,IndieWire
László Nemes, Son of Saul ,6,2015,US,Eric Kohn,IndieWire
Andrey Zvyagintsev, Leviathan ,7,2014,US,Eric Kohn,IndieWire
Joshua Oppenheimer, The Act of Killing ,8,2012,US,Eric Kohn,IndieWire
Steve McQueen, 12 Years a Slave ,9,2013,US,Eric Kohn,IndieWire
Mike Judge, Idiocracy ,10,2006,US,Eric Kohn,IndieWire
Hayao Miyazaki, Spirited Away ,1,2001,US,Dan Kois,Slate
Edward Yang, Yi Yi: A One and a Two ,2,2000,US,Dan Kois,Slate
Richard Linklater, Before Sunset ,3,2004,US,Dan Kois,Slate
Kenneth Lonergan, You Can Count On Me ,4,2000,US,Dan Kois,Slate
Pete Docter, Inside Out ,5,2015,US,Dan Kois,Slate
Lynne Ramsay, Morvern Callar ,6,2012,US,Dan Kois,Slate
Sarah Polley, Stories We Tell ,7,2012,US,Dan Kois,Slate
David Michôd, Animal Kingdom ,8,2010,US,Dan Kois,Slate
Joe Cornish, Attack the Block ,9,2011,US,Dan Kois,Slate
Jeff Tremaine, Jackass 3D ,10,2010,US,Dan Kois,Slate
David Lynch, Mulholland Drive ,1,2001,US,Michael Koresky,The Film Society of Lincoln Center
Steven Spielberg, AI: Artificial Intelligence ,2,2001,US,Michael Koresky,The Film Society of Lincoln Center
Terrence Malick, The Tree of Life ,3,2011,US,Michael Koresky,The Film Society of Lincoln Center
Apichatpong Weerasethakul, Syndromes and a Century ,4,2006,US,Michael Koresky,The Film Society of Lincoln Center
Tsai Ming-liang, What Time Is It There? ,5,2001,US,Michael Koresky,The Film Society of Lincoln Center
Claire Denis, The Intruder ,6,2004,US,Michael Koresky,The Film Society of Lincoln Center
Jean-Pierre and Luc Dardenne, The Son ,7,2002,US,Michael Koresky,The Film Society of Lincoln Center
Richard Linklater, Before Sunset ,8,2004,US,Michael Koresky,The Film Society of Lincoln Center
Lucrecia Martel, The Headless Woman ,9,2008,US,Michael Koresky,The Film Society of Lincoln Center
Brian De Palma, Femme Fatale ,10,2002,US,Michael Koresky,The Film Society of Lincoln Center
Asghar Farhadi, A Separation ,1,2011,US,Tomris Laffly,Freelance film critic
John Crowley, Brooklyn ,2,2015,US,Tomris Laffly,Freelance film critic
Joel and Ethan Coen, Inside Llewyn Davis ,3,2013,US,Tomris Laffly,Freelance film critic
Kenneth Lonergan, You Can Count On Me ,4,2000,US,Tomris Laffly,Freelance film critic
Mike Leigh, Vera Drake ,5,2004,US,Tomris Laffly,Freelance film critic
Clint Eastwood, Letters From Iwo Jima ,6,2006,US,Tomris Laffly,Freelance film critic
Alexander Payne, Nebraska ,7,2013,US,Tomris Laffly,Freelance film critic
Peter Mullan, The Magdalene Sisters ,8,2002,US,Tomris Laffly,Freelance film critic
Sarah Polley, Stories We Tell ,9,2012,US,Tomris Laffly,Freelance film critic
Mia Hansen-Løve, Father of My Children ,10,2009,US,Tomris Laffly,Freelance film critic
Florian Henckel von Donnersmarck, The Lives of Others ,1,2006,UK,Rebecca Laurence,BBC Culture
Joshua Oppenheimer, The Act of Killing ,2,2012,UK,Rebecca Laurence,BBC Culture
Andrea Arnold, Fish Tank ,3,2009,UK,Rebecca Laurence,BBC Culture
George Clooney, Good Night and Good Luck ,4,2005,UK,Rebecca Laurence,BBC Culture
Michael Haneke, The White Ribbon ,5,2009,UK,Rebecca Laurence,BBC Culture
Paolo Sorrentino, The Consequences of Love ,6,2004,UK,Rebecca Laurence,BBC Culture
Joel and Ethan Coen, No Country For Old Men ,7,2007,UK,Rebecca Laurence,BBC Culture
Asghar Farhadi, A Separation ,8,2011,UK,Rebecca Laurence,BBC Culture
Brad Bird and Jan Pinkava, Ratatouille ,9,2007,UK,Rebecca Laurence,BBC Culture
Wong Kar-wai, In the Mood for Love ,10,2000,UK,Rebecca Laurence,BBC Culture
Alfonso Cuarón, Children of Men ,1,2006,US,Richard Lawson,Vanity Fair
Joel and Ethan Coen, No Country For Old Men ,2,2007,US,Richard Lawson,Vanity Fair
Richard Linklater, Before Sunset ,3,2004,US,Richard Lawson,Vanity Fair
Olivier Assayas, Summer Hours ,4,2008,US,Richard Lawson,Vanity Fair
Michel Gondry, Eternal Sunshine of the Spotless Mind ,5,2004,US,Richard Lawson,Vanity Fair
David Wain, Wet Hot American Summer ,6,2001,US,Richard Lawson,Vanity Fair
Robert Zemeckis, Cast Away ,7,2000,US,Richard Lawson,Vanity Fair
Michael Haneke, Caché ,8,2005,US,Richard Lawson,Vanity Fair
Steven Soderbergh, Traffic ,9,2000,US,Richard Lawson,Vanity Fair
Andrew Haigh, Weekend ,10,2011,US,Richard Lawson,Vanity Fair
Edward Yang, Yi Yi: A One and a Two ,1,2000,Hong Kong,Maggie Lee,Variety
Hou Hsiao-hsien, Café Lumière ,2,2003,Hong Kong,Maggie Lee,Variety
Cristian Mungiu," 4 Months, 3 Weeks & 2 Days ",3,2007,Hong Kong,Maggie Lee,Variety
Michael Haneke, The White Ribbon ,4,2009,Hong Kong,Maggie Lee,Variety
Wong Kar-wai, In the Mood for Love ,5,2000,Hong Kong,Maggie Lee,Variety
Satoshi Kon, Millennium Actress ,6,2001,Hong Kong,Maggie Lee,Variety
Hayao Miyazaki, Spirited Away ,7,2001,Hong Kong,Maggie Lee,Variety
Asghar Farhadi, A Separation ,8,2011,Hong Kong,Maggie Lee,Variety
Claire Denis, 35 Shots of Rum ,9,2008,Hong Kong,Maggie Lee,Variety
Maren Ade, Toni Erdmann ,10,2016,Hong Kong,Maggie Lee,Variety
